fen,success,depth,nodes,time_s,score
6rk/8/5P1K/7P/8/p7/B7/8 w - - 0 1,False,6,4452,1.319,"PovScore(Cp(+317), WHITE)"
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,273,0.042,"PovScore(Cp(-16), BLACK)"
5k1K/8/7P/8/8/8/8/8 b - - 0 1,True,1,47,0.022,"PovScore(Cp(-25), BLACK)"
1k6/8/P7/1K6/8/8/8/8 w - - 0 1,True,1,209,0.015,"PovScore(Cp(+23), WHITE)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.009,"PovScore(Cp(+23), WHITE)"
8/8/8/8/7p/8/7p/5K1k w - - 0 1,True,5,703,0.07,"PovScore(Cp(-18), WHITE)"
8/8/8/5N2/8/6k1/6p1/6K1 b - - 0 1,True,1,185,0.043,"PovScore(Cp(+23), BLACK)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,211,0.015,"PovScore(Cp(+23), WHITE)"
6k1/8/6BP/5K2/8/8/8/8 w - - 0 1,True,1,305,0.022,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/7p/5K2/7k w - - 0 1,False,6,1879,0.172,"PovScore(Cp(+1792), WHITE)"
K7/2k5/P7/5p2/8/8/8/8 b - - 0 1,True,2,341,0.084,"PovScore(Cp(+28), BLACK)"
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,207,0.533,"PovScore(Cp(+23), WHITE)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.041,"PovScore(Cp(+23), WHITE)"
7K/5k2/7P/p7/Pp6/8/8/8 b - - 0 1,True,5,1436,0.508,"PovScore(Cp(-23), BLACK)"
1B6/Pk6/8/1K6/8/8/8/8 w - - 0 1,True,1,113,0.105,"PovScore(Cp(-25), WHITE)"
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,233,0.321,"PovScore(Cp(+5), BLACK)"
2rQ3k/7p/1p6/1p2p3/4Pp2/5n1b/7P/6RK b - - 0 1,False,6,14617,1.213,"PovScore(Cp(-1755), BLACK)"
6k1/3B4/7K/8/8/8/7P/8 w - - 0 1,True,3,1010,0.164,"PovScore(Cp(+21), WHITE)"
6k1/8/7P/5K2/8/8/8/8 w - - 0 1,True,1,233,0.021,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,327,0.022,"PovScore(Cp(-21), BLACK)"
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,214,0.004,"PovScore(Cp(+23), WHITE)"
6K1/7P/5k1r/8/8/8/8/8 b - - 0 1,True,5,4452,1.56,"PovScore(Cp(-24), BLACK)"
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,209,0.235,"PovScore(Cp(+23), WHITE)"
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,211,0.015,"PovScore(Cp(+23), WHITE)"
K1R5/3k4/P7/8/8/7p/8/8 b - - 0 1,False,6,6866,2.648,"PovScore(Cp(+1313), BLACK)"
6k1/8/6K1/5B1P/8/8/8/8 w - - 0 1,True,3,992,0.139,"PovScore(Cp(-28), WHITE)"
4k1QK/5q1P/8/8/8/8/8/8 b - - 0 1,True,3,1546,0.169,"PovScore(Cp(-16), BLACK)"
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.013,"PovScore(Cp(+23), WHITE)"
5qQK/4k2P/8/8/8/8/8/8 b - - 0 1,True,5,8307,1.48,"PovScore(Cp(-18), BLACK)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.014,"PovScore(Cp(+23), WHITE)"
8/6R1/8/5b2/7K/4kr2/8/8 b - - 0 1,True,2,1113,0.37,"PovScore(Cp(+11), BLACK)"
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,3,611,0.285,"PovScore(Cp(+22), WHITE)"
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,211,0.003,"PovScore(Cp(+23), WHITE)"
8/Pk1K4/8/1N6/8/8/8/8 w - - 0 1,True,5,3533,0.545,"PovScore(Cp(+14), WHITE)"
8/8/4p1p1/3pP3/3P2P1/p7/2K5/k7 w - - 0 1,False,6,2533,0.357,"PovScore(Cp(+722), WHITE)"
7k/5R2/6R1/8/3P2rK/5P2/5P1P/8 w - - 0 1,True,3,1129,0.119,"PovScore(Cp(+18), WHITE)"
8/8/8/8/8/kp6/8/K7 b - - 0 1,True,2,245,0.028,"PovScore(Cp(+17), BLACK)"
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.024,"PovScore(Cp(+23), WHITE)"
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,214,0.003,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,6,1980,0.06,"PovScore(Cp(-19), BLACK)"
8/1p6/1K6/p3k3/P7/8/8/8 b - - 0 1,False,6,6372,1.478,"PovScore(Cp(+26), BLACK)"
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,233,0.006,"PovScore(Cp(+5), BLACK)"
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,322,0.007,"PovScore(Cp(-21), BLACK)"
1k6/8/1KP5/8/8/8/8/8 w - - 0 1,True,1,219,0.018,"PovScore(Cp(+23), WHITE)"
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,207,0.006,"PovScore(Cp(+23), WHITE)"
k7/8/KP6/8/8/8/8/8 w - - 0 1,True,1,139,0.014,"PovScore(Cp(+23), WHITE)"
8/8/8/p7/k1K2p2/1p4P1/8/2B5 w - - 0 1,False,6,4065,0.787,"PovScore(Cp(+19273), WHITE)"
2k5/8/1PK5/8/8/8/8/8 w - - 0 1,True,1,213,0.019,"PovScore(Cp(+23), WHITE)"
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,331,0.307,"PovScore(Cp(-22), BLACK)"
