fen,success,depth,nodes,time_s,score
KRRBBQQQ/PPPPPPPP/8/6p1/3b4/7k/8/8 w - - 0 1,True,1,6,2.217,0
3b3k/p6p/1p5P/3q4/8/n7/PP6/K4Q2 w - - 0 1,False,6,24281,1.978,+31
8/8/8/8/8/p7/2K5/k7 w - - 0 1,False,6,2074,0.173,+1301
8/2K3R1/8/8/8/7p/8/7k w - - 0 1,False,6,9126,1.174,+718
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,309,0.032,-25
7k/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,215,0.034,+23
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,211,0.019,+23
3k4/8/2PK4/8/8/8/8/8 w - - 0 1,True,1,211,0.024,+23
8/8/8/8/8/4pk2/8/5K2 b - - 0 1,True,2,327,0.05,-21
8/8/1P6/8/3b4/6kp/5N2/6K1 b - - 0 1,False,6,6557,1.725,+24
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,211,0.016,+23
7k/8/6PK/8/8/8/8/8 w - - 0 1,True,1,139,0.013,+23
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,56,0.021,-25
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,64,0.019,-25
6k1/8/6BP/6K1/8/8/8/8 w - - 0 1,True,1,89,0.029,-25
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,333,0.038,+16
8/8/8/4K3/8/7Q/5p2/6k1 w - - 0 1,True,3,2547,0.414,-14
3k3n/6KP/8/8/8/8/8/8 b - - 0 1,True,5,2685,0.599,-16
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,6,2356,0.334,-21
k7/2K5/nP6/8/8/8/5B2/8 w - - 0 1,True,1,78,0.061,-25
6k1/8/6KP/7P/8/8/8/8 w - - 0 1,True,3,589,0.075,+28
6k1/8/7P/6K1/8/2p5/2B5/8 w - - 0 1,False,6,6074,0.905,+917
8/8/8/8/4q2p/7K/4pk1P/6Q1 b - - 0 1,True,6,8399,0.748,+15
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,320,0.129,+16
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,211,0.02,+23
7k/7P/6K1/8/p7/N7/8/1q6 w - - 0 1,False,6,2348,0.573,+160
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,6,2496,0.312,+18
