fen,success,depth,nodes,time_s,score
8/6p1/5pk1/7R/B7/8/8/7K w - - 0 1,True,2,422,4.903,+49817
5K2/8/2qk4/2nPp3/3r4/6B1/B7/3R4 w - e6 0 1,True,1,58,0.055,+50499
7n/BBP2P1P/8/P1PpK3/P5RR/5k2/Pn2NPN1/3Q2b1 w - d6 0 1,True,2,1360,0.244,+47395
8/2N3p1/5b2/k1B2P2/pP4R1/8/K1nn4/8 b - b3 0 1,True,1,86,0.092,+50499
rb6/k1p4R/P1P5/PpK5/8/8/8/5B2 w - b6 0 1,True,2,260,0.114,+50459
r1b3k1/2p2rpp/p7/1p6/3P3q/1BP3bP/PP4P1/RNB1R1K1 w - - 0 1,True,1,66,0.043,+50499
2n3rr/Pk3p2/3q4/3N4/3Pp2p/4P1p1/3B1PP1/R4RK1 w - - 0 1,True,1,78,0.142,+50499
8/pp6/2p2p2/6p1/1P6/2Q1P3/k1K2PPP/5B1R w - - 0 1,True,2,499,0.18,+49435
