fen,success,depth,nodes,time_s,score
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,54,0.006,-25
6K1/7P/5k1r/8/8/8/8/8 b - - 0 1,False,6,9481,2.125,+251
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,207,0.017,+23
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,54,0.01,-25
K1R5/3k4/P7/8/8/7p/8/8 b - - 0 1,False,6,5101,1.035,+953
6k1/8/6K1/5B1P/8/8/8/8 w - - 0 1,True,3,925,0.122,+19
4k1QK/5q1P/8/8/8/8/8/8 b - - 0 1,True,5,5585,0.547,+27
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.009,+23
5qQK/4k2P/8/8/8/8/8/8 b - - 0 1,True,5,6860,0.859,-25
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,215,0.012,+23
8/6R1/8/5b2/7K/4kr2/8/8 b - - 0 1,True,2,888,0.131,-21
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.006,+23
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,53,0.01,-25
8/Pk1K4/8/1N6/8/8/8/8 w - - 0 1,False,6,9011,1.343,+348
8/8/4p1p1/3pP3/3P2P1/p7/2K5/k7 w - - 0 1,False,6,2831,0.328,+278
7k/5R2/6R1/8/3P2rK/5P2/5P1P/8 w - - 0 1,True,3,1416,0.101,+27
8/8/8/8/8/kp6/8/K7 b - - 0 1,True,2,228,0.027,-16
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,217,0.012,+23
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,54,0.011,-25
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,5,1089,0.035,+19
8/1p6/1K6/p3k3/P7/8/8/8 b - - 0 1,True,3,604,0.09,-28
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,224,0.056,-16
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,325,0.01,-16
1k6/8/1KP5/8/8/8/8/8 w - - 0 1,True,1,55,0.044,-25
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,207,0.008,+23
k7/8/KP6/8/8/8/8/8 w - - 0 1,True,1,139,0.023,+23
8/8/8/p7/k1K2p2/1p4P1/8/2B5 w - - 0 1,False,6,4901,1.032,+358
2k5/8/1PK5/8/8/8/8/8 w - - 0 1,True,1,60,0.037,-25
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,364,0.026,+10
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,278,0.012,-13
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,5,1941,0.089,+17
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,False,6,2967,0.486,+39
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.007,-25
8/8/8/8/8/R6k/6rp/7K b - - 0 1,True,4,1502,0.21,-19
8/8/8/4bk2/8/8/6Kp/8 b - - 0 1,False,6,9636,1.235,+628
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.01,+23
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,207,0.011,+23
8/8/8/8/k7/p7/8/1K6 b - - 0 1,True,2,276,0.052,-13
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,False,6,2542,0.085,+39
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,False,6,2505,0.072,+39
8/8/8/8/8/3pk3/8/4K3 b - - 0 1,True,2,369,0.056,+10
