fen,success,depth,nodes,time_s,score
6K1/7P/5k1r/8/8/8/8/8 b - - 0 1,True,6,7877,2.032,-7
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,211,0.033,+23
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,213,0.012,+23
K1R5/3k4/P7/8/8/7p/8/8 b - - 0 1,True,5,1846,0.246,+26
6k1/8/6K1/5B1P/8/8/8/8 w - - 0 1,True,1,72,0.049,-25
4k1QK/5q1P/8/8/8/8/8/8 b - - 0 1,True,3,1600,0.153,-22
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.016,+23
5qQK/4k2P/8/8/8/8/8/8 b - - 0 1,True,5,8556,0.828,-5
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.013,+23
8/6R1/8/5b2/7K/4kr2/8/8 b - - 0 1,True,2,1164,0.128,-21
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,211,0.024,+23
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,59,0.043,-25
8/Pk1K4/8/1N6/8/8/8/8 w - - 0 1,False,6,9128,1.297,+106
8/8/4p1p1/3pP3/3P2P1/p7/2K5/k7 w - - 0 1,False,6,3100,0.354,+314
7k/5R2/6R1/8/3P2rK/5P2/5P1P/8 w - - 0 1,True,3,1407,0.097,+27
8/8/8/8/8/kp6/8/K7 b - - 0 1,True,2,237,0.031,-16
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.013,+23
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,53,0.007,-25
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,4,917,0.031,+9
8/1p6/1K6/p3k3/P7/8/8/8 b - - 0 1,True,1,71,0.076,-25
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,226,0.03,-16
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,325,0.011,-9
1k6/8/1KP5/8/8/8/8/8 w - - 0 1,True,1,57,0.032,-25
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,207,0.007,+23
k7/8/KP6/8/8/8/8/8 w - - 0 1,True,1,137,0.03,+23
8/8/8/p7/k1K2p2/1p4P1/8/2B5 w - - 0 1,False,6,5327,1.593,+341
2k5/8/1PK5/8/8/8/8/8 w - - 0 1,True,1,211,0.016,+23
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,False,6,3100,0.232,+39
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,276,0.011,-12
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,5,1805,0.049,+28
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,5,999,0.043,+23
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.009,-25
8/8/8/8/8/R6k/6rp/7K b - - 0 1,True,5,1773,0.293,+28
8/8/8/4bk2/8/8/6Kp/8 b - - 0 1,False,6,14534,2.169,+350
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.006,+23
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,207,0.007,+23
8/8/8/8/k7/p7/8/1K6 b - - 0 1,True,3,456,0.052,+18
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,5,994,0.051,+23
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,5,1010,0.029,+23
8/8/8/8/8/3pk3/8/4K3 b - - 0 1,True,2,309,0.119,-24
2k5/8/2KP4/8/8/8/8/8 w - - 0 1,True,1,56,0.026,-25
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,False,6,2928,0.079,+39
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,211,0.006,+23
6k1/8/7P/6K1/8/8/8/8 w - - 0 1,True,1,209,0.02,+23
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.008,-25
8/8/8/8/2b5/pk6/8/1K6 b - - 0 1,False,6,5668,0.564,+776
n7/PK6/3k2p1/3p2p1/3Pp1P1/4P3/8/8 b - - 0 1,True,5,1968,0.416,-6
K7/2k5/P7/8/8/8/8/8 b - - 0 1,True,1,57,0.045,-25
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,207,0.012,+23
7K/8/1Pk2Q2/8/4q3/8/8/8 b - - 0 1,True,1,801,0.063,+23
6k1/4K1p1/6PP/8/8/8/8/8 w - - 0 1,True,3,648,0.126,+21
8/6Q1/3K4/2P5/8/3q4/8/7k w - - 0 1,False,6,11993,2.846,+842
1k6/4B3/PK6/8/8/8/8/8 w - - 0 1,True,1,449,0.027,+23
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.007,+23
8/8/8/1K6/8/3Q4/8/k1q5 w - - 0 1,True,1,759,0.045,+23
4k3/8/3PK3/8/8/8/8/8 w - - 0 1,True,1,209,0.038,+23
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,53,0.009,-25
