Wall time,Step,Value
1753710490.2378404,8649,0.006786228623241186
1753711121.4089644,12249,0.006122062914073467
1753711246.290181,12999,0.006602868437767029
1753712502.3118963,20149,0.006149668712168932
1753713032.0919125,23299,0.005232406780123711
1753713437.1536577,25549,0.006207406986504793
1753713670.2233264,26949,0.005359973758459091
1753713820.1076887,27849,0.005046249832957983
1753714184.208331,29849,0.004677602089941502
1753714701.3608015,32949,0.006651872768998146
1753715621.7371936,38249,0.005079657305032015
1753715990.3391654,40249,0.004322841297835112
1753716510.822481,43349,0.004902081564068794
1753717836.9716127,50799,0.005259576253592968
1753717929.3039186,51349,0.004989512264728546
1753718021.6772451,51899,0.004408976063132286
1753718795.6044652,56299,0.005551449954509735
1753718854.2377813,56649,0.004890539683401585
1753719124.8602796,58249,0.003939412068575621
1753719322.3437111,59249,0.003735183971002698
1753719896.557466,62649,0.004813184961676598
1753720089.112819,63599,0.004847629461437464
1753721352.8888285,70899,0.004261844791471958
1753721698.8314402,72949,0.004654289223253727
1753722031.0941575,74749,0.0036864611320197582
1753722165.796075,75549,0.004257488995790482
1753722191.2461414,75699,0.004559790715575218
1753722486.011531,77449,0.003885518992319703
1753722658.853466,78299,0.004586285445839167
1753723575.9365103,83549,0.004383820574730635
1753725915.1568582,97049,0.0034891911782324314
1753726120.4315915,98049,0.0035732390824705362
1753730257.0656137,121849,0.003869533073157072
1753730330.787109,122099,0.003682634560391307
1753730509.0847495,123149,0.0036858730018138885
1753730854.3227952,125199,0.003974831663072109
1753731510.419904,128899,0.004152799490839243
1753732093.3770475,132199,0.003820433747023344
1753732438.8478878,134249,0.004298070445656776
1753732515.5701087,134699,0.003974542953073978
1753732640.6652822,135449,0.00353239756077528
1753732717.5768466,135899,0.0037295303773134947
1753733173.7349823,138449,0.004113911651074886
1753733315.7625542,139299,0.004398459568619728
1753734957.0211492,148699,0.003392261452972889
1753735917.7984877,154199,0.00390964187681675
1753736094.0214844,155249,0.0037515778094530106
1753736102.0381758,155299,0.003518882906064391
1753736472.844293,157299,0.0034233233891427517
1753737077.1952405,160899,0.00366290844976902
1753737306.9685404,162099,0.0036590828094631433
1753737507.9851546,163299,0.004231201950460672
1753738297.0246215,167849,0.004021035507321358
1753738698.6669624,170249,0.0033712140284478664
1753739542.123296,175049,0.0033503416925668716
1753739791.688777,176349,0.00397139647975564
1753740123.7833023,178349,0.004022609442472458
1753740408.711545,180049,0.003565389197319746
1753740570.825377,180849,0.003325585974380374
1753740888.5823064,182749,0.0033265864476561546
1753741005.0118124,183449,0.0033134666737169027
1753741030.5608456,183599,0.003852906171232462
1753741403.2514281,185649,0.004180207382887602
1753741988.5764122,189149,0.004001440480351448
1753742573.7210517,192449,0.003676781663671136
1753743174.1717207,195799,0.0031805592589080334
1753744107.098821,201199,0.003503229934722185
1753744867.2687867,205499,0.0035575274378061295
1753744967.6727464,206099,0.00401637889444828
1753745467.9065776,209099,0.003860713914036751
1753745560.632237,209649,0.0031966539099812508
1753745880.7196012,211399,0.003276054048910737
1753746672.533,215949,0.00353985745459795
1753746757.4276366,216449,0.0031763706356287003
1753748586.863446,226999,0.003491372801363468
1753748795.7032049,228249,0.0041130464524030685
1753749535.7592454,232499,0.0036233558785170317
