fen,success,depth,nodes,time_s,score
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,211,0.007,+23
6K1/7P/5k1r/8/8/8/8/8 b - - 0 1,True,6,8521,1.714,+18
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,213,0.048,+23
5k2/8/5KP1/8/8/8/8/8 w - - 0 1,True,1,209,0.021,+23
K1R5/3k4/P7/8/8/7p/8/8 b - - 0 1,False,6,7980,1.905,+995
6k1/8/6K1/5B1P/8/8/8/8 w - - 0 1,True,3,1185,0.16,+5
4k1QK/5q1P/8/8/8/8/8/8 b - - 0 1,True,3,1286,0.154,+27
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,209,0.005,+23
5qQK/4k2P/8/8/8/8/8/8 b - - 0 1,True,5,9288,0.757,+12
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,207,0.015,+23
8/6R1/8/5b2/7K/4kr2/8/8 b - - 0 1,True,2,928,0.148,-9
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,211,0.006,+23
6k1/8/5PK1/8/8/8/8/8 w - - 0 1,True,1,207,0.009,+23
8/Pk1K4/8/1N6/8/8/8/8 w - - 0 1,True,1,451,0.074,+23
8/8/4p1p1/3pP3/3P2P1/p7/2K5/k7 w - - 0 1,False,6,2459,0.205,+680
7k/5R2/6R1/8/3P2rK/5P2/5P1P/8 w - - 0 1,True,3,1240,0.088,+20
8/8/8/8/8/kp6/8/K7 b - - 0 1,True,2,225,0.054,+25
6k1/8/6KP/8/8/8/8/8 w - - 0 1,True,1,213,0.007,+23
5k2/8/4PK2/8/8/8/8/8 w - - 0 1,True,1,211,0.012,+23
8/8/8/8/8/5pk1/8/6K1 b - - 0 1,True,6,2535,0.133,+26
8/1p6/1K6/p3k3/P7/8/8/8 b - - 0 1,True,1,224,0.057,+23
8/8/8/8/8/6pk/8/7K b - - 0 1,True,2,216,0.021,+25
8/8/8/8/8/6kp/8/6K1 b - - 0 1,True,2,317,0.01,-25
1k6/8/1KP5/8/8/8/8/8 w - - 0 1,True,1,217,0.022,+23
1k6/8/1K6/P7/8/8/8/8 w - - 0 1,True,1,213,0.007,+23
k7/8/KP6/8/8/8/8/8 w - - 0 1,True,1,143,0.013,+23
8/8/8/p7/k1K2p2/1p4P1/8/2B5 w - - 0 1,False,6,3676,0.574,+18777
2k5/8/1PK5/8/8/8/8/8 w - - 0 1,True,1,213,0.028,+23
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,350,0.019,+22
8/8/8/8/7k/7p/8/6K1 b - - 0 1,True,2,276,0.015,-11
8/8/8/8/8/5kp1/8/7K b - - 0 1,True,5,1892,0.053,+17
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,False,6,2261,0.231,+221
7K/5k2/7P/8/8/8/8/8 b - - 0 1,True,1,53,0.006,-25
8/8/8/8/8/R6k/6rp/7K b - - 0 1,True,1,418,0.031,+23
8/8/8/4bk2/8/8/6Kp/8 b - - 0 1,False,6,11331,1.271,+600
6k1/8/6K1/7P/8/8/8/8 w - - 0 1,True,1,207,0.005,+23
1k6/8/PK6/8/8/8/8/8 w - - 0 1,True,1,207,0.006,+23
8/8/8/8/k7/p7/8/1K6 b - - 0 1,True,2,272,0.033,-11
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,6,2602,0.097,+21
8/8/8/8/8/4kp2/8/4K3 b - - 0 1,True,6,2416,0.08,+21
8/8/8/8/8/3pk3/8/4K3 b - - 0 1,True,6,3133,0.445,+18
2k5/8/2KP4/8/8/8/8/8 w - - 0 1,True,1,213,0.054,+23
8/8/8/8/8/5kp1/8/5K2 b - - 0 1,True,2,345,0.011,+22
4k3/8/4KP2/8/8/8/8/8 w - - 0 1,True,1,211,0.008,+23
